#lat=6.1,lon=-73.5,ratio=120,initial_date=20191201 000000,final_date=20191202 000000,min_mag=0,max_mag=8,min_prof=-5,max_prof=250,event_type=['earthquake', 'unset'],station_list=None
,agency,id,picker,time_event,latitude,longitude,radio,depth,magnitude,rms,depth_uncertainty,latitude_uncertainty,longitude_uncertainty,Region,type
0,SGC,SGC2019xpcvvc,rbolanos@proc4,2019-12-01 00:08:53,6.46,-73.77,50.18,102.47,1.18,0.22,2.2,0.9899494937,0.9899494937,"Landázuri - Santander, Colombia",earthquake
1,SGC,SGC2019xplwxb,mcubillos@proc3,2019-12-01 04:42:00,6.83,-73.16,90.04,144.23,3.04,0.64,1.6,1.272792206,1.272792206,"Los Santos - Santander, Colombia",earthquake
2,SGC,SGC2019xpmlxn,mcubillos@proc3,2019-12-01 04:59:20,6.83,-73.14,90.66,144.0,1.93,0.41,1.9,1.343502884,1.343502884,"Los Santos - Santander, Colombia",earthquake
3,SGC,SGC2019xpnczm,mcubillos@proc3,2019-12-01 05:19:09,6.82,-73.19,87.14,146.05,1.51,0.19,1.3,1.060660172,1.060660172,"Zapatoca - Santander, Colombia",earthquake
4,SGC,SGC2019xpngws,mcubillos@proc3,2019-12-01 05:23:40,6.8,-73.12,88.89,151.0,1.64,0.42,1.8,1.414213562,1.414213562,"Los Santos - Santander, Colombia",earthquake
5,SGC,SGC2019xppbta,mcubillos@proc3,2019-12-01 06:18:05,6.81,-73.18,86.04,138.17,2.75,0.46,1.3,0.9899494937,0.9899494937,"Los Santos - Santander, Colombia",earthquake
6,SGC,SGC2019xppprj,mcubillos@proc3,2019-12-01 06:34:13,6.8,-73.15,86.64,150.52,1.62,0.28,1.6,1.202081528,1.202081528,"Los Santos - Santander, Colombia",earthquake
7,SGC,SGC2019xpprvt,mcubillos@proc3,2019-12-01 06:36:44,6.8,-73.14,87.27,144.49,1.67,0.3,1.8,1.48492424,1.48492424,"Los Santos - Santander, Colombia",earthquake
8,SGC,SGC2019xprooa,mcubillos@proc3,2019-12-01 07:33:15,6.8,-73.11,89.18,144.25,1.34,0.11,1.3,1.13137085,1.13137085,"Los Santos - Santander, Colombia",earthquake
9,SGC,SGC2019xprzeb,mcubillos@proc3,2019-12-01 07:45:34,6.81,-73.19,85.87,139.74,1.45,0.27,2.3,1.697056275,1.697056275,"Zapatoca - Santander, Colombia",earthquake
