#lat=6.81,lon=-73.17,ratio=120,initial_date=20191201 000000,final_date=20191202 000000,min_mag=0,max_mag=8,min_prof=-5,max_prof=250,event_type=None,station_list=None
,agency,id,time_event,latitude,longitude,depth,radio,magnitude,rms,depth_uncertainty,latitude_uncertainty,longitude_uncertainty,Region,type
0,SGC,SGC2019xpcrec,2019-12-01 00:03:43,6.59,-73.18,10.0,24.28,1.34,10.30676792,,,,"San Gil - Santander, Colombia",not locatable
1,SGC,SGC2019xpcvvc,2019-12-01 00:08:53,6.46,-73.77,102.47,76.38,1.18,0.22,2.2,0.9899494937,0.9899494937,"Landázuri - Santander, Colombia",earthquake
2,SGC,SGC2019xpdatg,2019-12-01 00:14:50,6.79,-73.2,141.33,4.46,1.83,0.39,3.0,1.838477631,1.838477631,"Zapatoca - Santander, Colombia",
3,SGC,SGC2019xpdwkc,2019-12-01 00:39:57,6.78,-73.18,142.21,3.76,1.86,0.67,3.5,2.687005769,2.687005769,"Los Santos - Santander, Colombia",
4,SGC,SGC2019xperzx,2019-12-01 01:05:02,6.81,-73.18,141.71,0.88,1.8,0.22,1.6,0.9899494937,0.9899494937,"Los Santos - Santander, Colombia",
5,SGC,SGC2019xpfdqo,2019-12-01 01:18:32,6.8,-73.18,147.86,1.25,1.58,0.31,2.7,1.697056275,1.697056275,"Los Santos - Santander, Colombia",
6,SGC,SGC2019xpfvxn,2019-12-01 01:39:44,7.41,-73.19,132.87,66.39,1.49,0.39,3.6,2.474873734,2.474873734,"Rionegro - Santander, Colombia",
7,SGC,SGC2019xpgyvw,2019-12-01 02:13:20,6.81,-73.16,141.41,1.49,2.36,0.47,1.4,1.13137085,1.13137085,"Los Santos - Santander, Colombia",
8,SGC,SGC2019xphuav,2019-12-01 02:37:54,6.82,-73.17,146.94,1.5,2.35,0.39,1.4,1.060660172,1.060660172,"Los Santos - Santander, Colombia",
9,SGC,SGC2019xpibxp,2019-12-01 02:47:02,6.82,-73.12,151.86,5.78,2.62,0.71,2.0,1.414213562,1.414213562,"Los Santos - Santander, Colombia",
10,SGC,SGC2019xpitpe,2019-12-01 03:07:34,6.82,-73.15,143.56,2.64,2.4,0.49,1.5,1.13137085,1.13137085,"Los Santos - Santander, Colombia",
11,SGC,SGC2019xpizpc,2019-12-01 03:14:30,6.8,-73.16,146.98,1.51,2.03,0.54,2.2,1.555634919,1.555634919,"Los Santos - Santander, Colombia",
12,SGC,SGC2019xpjmrb,2019-12-01 03:29:41,6.81,-73.14,152.72,2.91,1.87,0.42,2.0,1.767766953,1.767766953,"Los Santos - Santander, Colombia",
13,SGC,SGC2019xpldpz,2019-12-01 04:19:12,6.68,-73.6,105.73,49.41,0.93,0.01,0.3,0.1414213562,0.1414213562,"El Carmen - Santander, Colombia",not locatable
14,SGC,SGC2019xplwxb,2019-12-01 04:42:00,6.83,-73.16,144.23,3.08,3.04,0.64,1.6,1.272792206,1.272792206,"Los Santos - Santander, Colombia",earthquake
15,SGC,SGC2019xpmlxn,2019-12-01 04:59:20,6.83,-73.14,144.0,4.28,1.93,0.41,1.9,1.343502884,1.343502884,"Los Santos - Santander, Colombia",earthquake
16,SGC,SGC2019xpnczm,2019-12-01 05:19:09,6.82,-73.19,146.05,2.44,1.51,0.19,1.3,1.060660172,1.060660172,"Zapatoca - Santander, Colombia",earthquake
17,SGC,SGC2019xpngws,2019-12-01 05:23:40,6.8,-73.12,151.0,5.86,1.64,0.42,1.8,1.414213562,1.414213562,"Los Santos - Santander, Colombia",earthquake
18,SGC,SGC2019xppbta,2019-12-01 06:18:05,6.81,-73.18,138.17,1.3,2.75,0.46,1.3,0.9899494937,0.9899494937,"Los Santos - Santander, Colombia",earthquake
19,SGC,SGC2019xppprj,2019-12-01 06:34:13,6.8,-73.15,150.52,2.44,1.62,0.28,1.6,1.202081528,1.202081528,"Los Santos - Santander, Colombia",earthquake
20,SGC,SGC2019xpprvt,2019-12-01 06:36:44,6.8,-73.14,144.49,4.08,1.67,0.3,1.8,1.48492424,1.48492424,"Los Santos - Santander, Colombia",earthquake
21,SGC,SGC2019xprooa,2019-12-01 07:33:15,6.8,-73.11,144.25,7.25,1.34,0.11,1.3,1.13137085,1.13137085,"Los Santos - Santander, Colombia",earthquake
22,SGC,SGC2019xprzeb,2019-12-01 07:45:34,6.81,-73.19,139.74,2.52,1.45,0.27,2.3,1.697056275,1.697056275,"Zapatoca - Santander, Colombia",earthquake
23,SGC,SGC2019xpsebq,2019-12-01 07:51:16,6.8,-73.12,146.53,5.72,2.14,0.52,2.1,1.626345597,1.626345597,"Los Santos - Santander, Colombia",earthquake
24,SGC,SGC2019xpsmvq,2019-12-01 08:01:27,6.77,-73.21,143.5,6.22,1.28,0.25,2.3,1.48492424,1.48492424,"Zapatoca - Santander, Colombia",earthquake
